playername;playerteam;age
DeAron Fox;Pacers;40
Giannis Antetokounmpo;Pelicans;32
Chris Bosh;Mavericks;19
Ja Morant;Wizards;41
Dwyane Wade;Raptors;35
Jamal Murray;Lakers;35
Jamal Murray;Blazers;31
Luka Doncic;Knicks;35
Donovan Mitchell;Thunder;33
Luka Doncic;76ers;27
LeBron James;Magic;27
Bill Russell;Bucks;22
George Gervin;Hawks;19
Ja Morant;Lakers;26
Dirk Nowitzki;Hornets;36
George Gervin;Celtics;23
Kevin Durant;Pacers;24
Karl Anthony-Towns;Warriors;37
Karl Anthony-Towns;Warriors;18
George Mikan;Nets;19
Reggie Miller;Rockets;35
Blake Griffin;Blazers;26
Hakeem Olajuwon;Wizards;19
Bill Russell;Hornets;30
Mugsy Bouges;Lakers;23
Klay Thompson;Lakers;39
Luka Doncic;Spurs;30
Elgin Baylor;Celtics;37
Ray Allen;Clippers;38
Dirk Nowitzki;Hawks;25
John Wall;76ers;37
CJ McCollum;Celtics;19
Tracy McGrady;Bulls;28
Kevin Durant;Bulls;22
Ja Morant;Pacers;32
Luka Doncic;Hornets;23
Wilt Chamberlain;Rockets;37
Ja Morant;Heat;34
Kevin McHale;Wizards;18
Wilt Chamberlain;Celtics;22
Rudy Gobert;Warriors;33
CJ McCollum;Magic;39
Blake Griffin;Mavericks;29
Jerry West;Grizzlies;37
Joel Embiid;Suns;19
Shaquille Oneal;Knicks;37
Donovan Mitchell;Blazers;38
Ja Morant;Bucks;28
Penny Hardaway;Spurs;22
Penny Hardaway;Cavaliers;26
Kareem Abdul-Jabbar;Hawks;19
Dominique Wilkins;Knicks;33
David Robinson;Lakers;30
Ja Morant;Hornets;23
Dwight Howard;Celtics;27
Ja Morant;Blazers;38
Kobe Bryant;Kings;37
Damian Lillard;76ers;20
Hakeem Olajuwon;Bucks;32
Dwyane Wade;Blazers;32
Karl Anthony-Towns;Heat;19
Blake Griffin;Rockets;25
Klay Thompson;Raptors;41
Chris Bosh;Pistons;39
Giannis Antetokounmpo;Raptors;36
Joel Embiid;Nuggets;38
Vince carter;Nets;26
Chris Bosh;Knicks;23
Rudy Gobert;Knicks;24
Rudy Gobert;Lakers;30
Charles Barkley;Bulls;28
Russell Westbrook;Clippers;24
Wilt Chamberlain;Hawks;32
Ja Morant;Hawks;28
George Mikan;Grizzlies;27
Anthony Davis;Thunder;40
Scottie Pippen;Jazz;26
Yao Ming;Suns;25
Patrick Ewing;Heat;33
Reggie Miller;Hawks;36
Donovan Mitchell;Spurs;36
Tim Duncan;Rockets;19
Wilt Chamberlain;Knicks;39
John Wall;Warriors;20
Steve Nash;Mavericks;27
Paul Pierce;Cavaliers;29
Joel Embiid;Lakers;39
Damian Lillard;Clippers;30
Klay Thompson;Bucks;18
Patrick Ewing;Wizards;35
Luka Doncic;Timberwolves;38
Tracy McGrady;Knicks;27
Paul George;Cavaliers;32
Penny Hardaway;Grizzlies;38
Blake Griffin;Mavericks;26
Wilt Chamberlain;Hornets;19
Tim Duncan;Grizzlies;37
Ja Morant;Hornets;40
George Mikan;Cavaliers;38
Kemba Walker;Pistons;22
Kevin Durant;Heat;26
Russell Westbrook;Bulls;30
Julius Erwing;Suns;33
Tim Duncan;Rockets;38
Yao Ming;Grizzlies;31
Joel Embiid;Clippers;41
Jamal Murray;Lakers;27
Russell Westbrook;Cavaliers;27
Steph Curry;Hawks;27
James Worthy;Wizards;22
Michael Jordan;Nets;18
Larry Bird;Magic;27
Chris Paul;Hawks;30
Giannis Antetokounmpo;Spurs;31
Elgin Baylor;Suns;18
James Worthy;Rockets;36
Magic Johnson;Celtics;33
Kawhi Leonard;Bulls;38
Kobe Bryant;Clippers;30
Tim Duncan;Blazers;18
Manute Bol;Mavericks;39
Chris Bosh;Cavaliers;21
George Gervin;Lakers;26
Jerry West;Pacers;18
John Stockton;Celtics;32
Joel Embiid;Grizzlies;22
DeAron Fox;Nuggets;32
Karl Malone;Kings;40
Luka Doncic;Wizards;40
David Robinson;Spurs;30
Tracy McGrady;Blazers;21
Larry Bird;Cavaliers;29
Ja Morant;76ers;24
Dominique Wilkins;Nets;20
George Gervin;Magic;27
Bradley Beal;Timberwolves;27
Larry Bird;Thunder;40
Tracy McGrady;Kings;24
Nikola Jokic;Wizards;32
Donovan Mitchell;Bucks;31
Dennis Rodman;Lakers;37
Rudy Gobert;Hornets;40
Mugsy Bouges;Grizzlies;27
Kawhi Leonard;Spurs;21
Donovan Mitchell;Celtics;29
Dominique Wilkins;Bucks;33
Jerry West;Jazz;28
Charles Barkley;Knicks;18
Dwight Howard;Thunder;39
Kobe Bryant;Clippers;37
Joel Embiid;Thunder;37
Russell Westbrook;Clippers;33
Yao Ming;Pacers;39
James Harden;Nets;31
Hakeem Olajuwon;Raptors;40
Elgin Baylor;Wizards;35
Jason Kidd;Heat;40
Steph Curry;Celtics;34
Larry Bird;Pelicans;25
Kawhi Leonard;Celtics;40
Ja Morant;Thunder;22
Chris Bosh;Clippers;32
George Gervin;Raptors;19
DeMar DeRozan;Celtics;39
Penny Hardaway;Pacers;41
DeAron Fox;Pistons;31
Vince carter;Nuggets;39
Michael Jordan;Hawks;27
Isiah Thomas;Pistons;22
Anthony Davis;76ers;36
Klay Thompson;Hornets;25
Moses Malone;Celtics;31
Chris Bosh;Spurs;36
Penny Hardaway;Nets;20
Elgin Baylor;Lakers;32
Karl Anthony-Towns;Hawks;38
Russell Westbrook;Kings;28
Larry Bird;Mavericks;41
Wilt Chamberlain;Grizzlies;28
Karl Anthony-Towns;Jazz;23
DeMar DeRozan;Pistons;41
Chris Paul;Warriors;39
Bradley Beal;Rockets;32
Bill Russell;Bulls;32
Shaquille Oneal;Timberwolves;26
CJ McCollum;Hawks;32
Scottie Pippen;Pelicans;33
Larry Bird;Heat;26
George Mikan;76ers;23
George Gervin;Magic;25
Paul Pierce;Timberwolves;32
Charles Barkley;Nets;35
Julius Erwing;Pistons;29
Tim Duncan;Suns;20
Russell Westbrook;76ers;20
Kevin Garnett;Spurs;39
John Wall;Warriors;23
Penny Hardaway;Wizards;25
Shaquille Oneal;Heat;22
Scottie Pippen;Wizards;25
Carmelo Anthony;Bucks;39
Donovan Mitchell;Spurs;27
Scottie Pippen;Pelicans;28
Karl Anthony-Towns;Hawks;23
Bradley Beal;Pistons;35
Kevin Garnett;Blazers;26
John Stockton;Mavericks;25
Mugsy Bouges;Grizzlies;25
Kyrie irving;Lakers;25
Reggie Miller;Mavericks;33
LeBron James;Lakers;39
Jerry West;Blazers;18
Jamal Murray;Kings;41
Penny Hardaway;Hawks;29
Ja Morant;Warriors;25
Carmelo Anthony;Timberwolves;30
Jason Kidd;Timberwolves;41
Giannis Antetokounmpo;Mavericks;22
Blake Griffin;Clippers;37
Larry Bird;Grizzlies;31
Wilt Chamberlain;Heat;31
Patrick Ewing;Grizzlies;37
Nikola Jokic;Rockets;32
Steve Nash;Pistons;23
DeMar DeRozan;Jazz;37
David Robinson;Nets;27
Kevin Durant;Lakers;31
DeAron Fox;Pacers;23
Dwight Howard;Warriors;37
Dirk Nowitzki;Mavericks;19
Devin Booker;Raptors;34
Russell Westbrook;Thunder;35
Steve Nash;Hornets;29
Blake Griffin;76ers;31
Rudy Gobert;Celtics;26
Vince carter;Cavaliers;19
Rudy Gobert;Blazers;29
Julius Erwing;Grizzlies;24
Elgin Baylor;Jazz;25
Tim Duncan;Jazz;39
Kyrie irving;Cavaliers;33
Wilt Chamberlain;Clippers;26
David Robinson;76ers;33
Chris Paul;Knicks;28
Donovan Mitchell;Nets;19
Donovan Mitchell;Clippers;29
Chris Paul;Pacers;31
Kawhi Leonard;Pistons;24
Kobe Bryant;Warriors;25
Charles Barkley;Thunder;37
Chris Paul;Pistons;25
Moses Malone;Clippers;34
Shaquille Oneal;Timberwolves;23
Kawhi Leonard;Timberwolves;38
Kawhi Leonard;Nets;31
Dennis Rodman;Pelicans;20
Kemba Walker;Timberwolves;23
Shaquille Oneal;Hawks;41
Russell Westbrook;Rockets;25
Jamal Murray;Heat;24
Reggie Miller;76ers;26
DeMar DeRozan;Spurs;21
Dwight Howard;Mavericks;21
George Mikan;Hawks;34
Jason Kidd;Nets;24
DeAron Fox;Rockets;39
Rudy Gobert;Suns;40
Shaquille Oneal;Bulls;31
Shaquille Oneal;Spurs;37
Klay Thompson;Hawks;38
DeAron Fox;Celtics;30
Dwight Howard;Celtics;37
Klay Thompson;Mavericks;27
Dominique Wilkins;Grizzlies;24
Hakeem Olajuwon;Rockets;18
Rudy Gobert;Nuggets;36
Patrick Ewing;Blazers;40
Dominique Wilkins;Clippers;38
James Harden;Mavericks;21
Giannis Antetokounmpo;Hawks;39
Dirk Nowitzki;Thunder;29
Jamal Murray;Lakers;37
Isiah Thomas;Knicks;24
John Wall;Lakers;29
Michael Jordan;Knicks;36
Mugsy Bouges;Lakers;26
Klay Thompson;Raptors;22
James Worthy;Spurs;28
Michael Jordan;Jazz;18
Dominique Wilkins;Nuggets;18
Allen Iverson;Wizards;34
LeBron James;Spurs;38
Russell Westbrook;Nets;21
Paul Pierce;Cavaliers;28
CJ McCollum;Cavaliers;31
Bill Russell;Timberwolves;30
CJ McCollum;Blazers;26
Carmelo Anthony;Rockets;30
Bradley Beal;Bucks;38
Shaquille Oneal;Pistons;36
Kyrie irving;Heat;28
Dirk Nowitzki;Pelicans;35
Rudy Gobert;Mavericks;35
Allen Iverson;Nuggets;41
Julius Erwing;Grizzlies;31
Kawhi Leonard;Bulls;36
Isiah Thomas;Grizzlies;23
LeBron James;76ers;35
LeBron James;Clippers;34
Karl Malone;Nuggets;26
Dwight Howard;Jazz;20
Donovan Mitchell;Thunder;29
Dominique Wilkins;76ers;24
Tim Duncan;Pistons;37
Kemba Walker;Wizards;27
Joel Embiid;Pistons;36
Mugsy Bouges;Jazz;41
Nikola Jokic;Wizards;40
Donovan Mitchell;Magic;18
Michael Jordan;Pistons;20
Klay Thompson;Hawks;27
Elgin Baylor;Bulls;20
Devin Booker;Knicks;28
Hakeem Olajuwon;Grizzlies;33
Ray Allen;Lakers;33
Paul George;Mavericks;22
Kemba Walker;Magic;35
Michael Jordan;Timberwolves;38
John Wall;Bucks;33
Vince carter;Bulls;38
Chris Paul;Raptors;39
Yao Ming;Raptors;34
LeBron James;Pistons;27
Paul Pierce;Heat;25
Dirk Nowitzki;Pistons;37
Dominique Wilkins;Warriors;39
Larry Bird;Celtics;27
Bradley Beal;Hornets;25
Dwight Howard;Raptors;37
Michael Jordan;76ers;38
Kevin Garnett;Bucks;19
Russell Westbrook;Pacers;30
Vince carter;Timberwolves;34
Manute Bol;Jazz;20
Kareem Abdul-Jabbar;Celtics;27
Dwight Howard;Nuggets;31
Devin Booker;Celtics;41
DeMar DeRozan;Raptors;20
Joel Embiid;Spurs;35
Charles Barkley;Hawks;39
John Stockton;Spurs;28
Luka Doncic;Clippers;26
Kevin McHale;Thunder;30
Kevin Durant;Kings;37
George Mikan;Kings;28
DeAron Fox;Celtics;36
Tracy McGrady;Rockets;19
Manute Bol;Pacers;40
Russell Westbrook;Bulls;36
Bill Russell;Lakers;30
Kevin Garnett;Wizards;41
Klay Thompson;Hawks;23
Moses Malone;Thunder;32
Tim Duncan;Jazz;27
Reggie Miller;Blazers;21
Dwight Howard;Knicks;36
Manute Bol;Spurs;25
Carmelo Anthony;Wizards;23
Kawhi Leonard;Wizards;28
Kemba Walker;Bucks;20
Dwyane Wade;Pacers;21
CJ McCollum;Celtics;35
CJ McCollum;Grizzlies;24
George Gervin;Wizards;38
Kevin Durant;Pacers;27
Steph Curry;Timberwolves;23
Isiah Thomas;Kings;29
Allen Iverson;Thunder;34
Dennis Rodman;Raptors;26
Moses Malone;Clippers;34
Scottie Pippen;Lakers;36
Bill Russell;Timberwolves;32
George Gervin;Hornets;36
Carmelo Anthony;Spurs;20
Ray Allen;Pelicans;18
Bradley Beal;Kings;22
Dominique Wilkins;Rockets;33
Moses Malone;Rockets;31
Michael Jordan;Mavericks;23
Mugsy Bouges;Grizzlies;21
CJ McCollum;Hornets;31
Dirk Nowitzki;Wizards;23
Hakeem Olajuwon;Knicks;18
Rudy Gobert;Nets;31
Donovan Mitchell;Hawks;34
Nikola Jokic;Mavericks;22
Charles Barkley;Nets;22
DeMar DeRozan;Hornets;32
Karl Anthony-Towns;Cavaliers;19
Isiah Thomas;Bulls;21
Blake Griffin;Raptors;29
Wilt Chamberlain;Hawks;27
Steve Nash;Nuggets;30
David Robinson;Mavericks;31
Allen Iverson;Hornets;30
Tracy McGrady;Mavericks;22
Moses Malone;Raptors;19
Joel Embiid;Wizards;32
Magic Johnson;Blazers;22
John Wall;Raptors;29
Paul Pierce;Grizzlies;26
Kevin Durant;Pistons;21
Tracy McGrady;Heat;18
Damian Lillard;Cavaliers;29
Klay Thompson;Bucks;21
Elgin Baylor;Cavaliers;24
Hakeem Olajuwon;76ers;38
DeAron Fox;Wizards;38
Karl Anthony-Towns;Timberwolves;31
Anthony Davis;Pacers;25
Karl Anthony-Towns;Hawks;21
Kevin McHale;Pelicans;26
Blake Griffin;76ers;41
Dwyane Wade;Lakers;30
Jason Kidd;76ers;24
Rudy Gobert;Lakers;39
Steve Nash;Hornets;31
Kyrie irving;Kings;33
Kemba Walker;Heat;20
Larry Bird;Spurs;24
Luka Doncic;Wizards;26
Isiah Thomas;Warriors;39
Scottie Pippen;Bulls;22
DeMar DeRozan;Pistons;41
Isiah Thomas;76ers;22
Klay Thompson;Lakers;40
Paul Pierce;Knicks;25
DeAron Fox;Heat;36
CJ McCollum;Raptors;32
Devin Booker;Lakers;34
Tim Duncan;Hawks;28
Karl Anthony-Towns;Bucks;35
Steph Curry;Timberwolves;19
Tracy McGrady;Pistons;24
Paul George;Blazers;34
Anthony Davis;Magic;33
Kobe Bryant;Hornets;24
Paul Pierce;Blazers;24
Larry Bird;Suns;32
DeMar DeRozan;Heat;41
Allen Iverson;Grizzlies;38
Steve Nash;Pelicans;21
Jamal Murray;Lakers;36
LeBron James;Jazz;22
Jason Kidd;Suns;26
Chris Bosh;Nuggets;22
Tim Duncan;Knicks;41
Blake Griffin;Hawks;38
Devin Booker;Bulls;39
Yao Ming;Raptors;34
Hakeem Olajuwon;Raptors;29
Magic Johnson;Pelicans;29
Luka Doncic;Bulls;38
Ray Allen;Pacers;39
Kobe Bryant;Hornets;21
Dirk Nowitzki;Hornets;28
Rudy Gobert;Hornets;39
Chris Bosh;Spurs;30
DeAron Fox;Timberwolves;24
Moses Malone;Raptors;20
CJ McCollum;Heat;26
LeBron James;Suns;33
Yao Ming;Spurs;19
Karl Malone;Hawks;36
Devin Booker;Warriors;20
Kevin Garnett;Jazz;38
Penny Hardaway;Pelicans;29
Kyrie irving;Wizards;18
Yao Ming;Kings;35
James Worthy;Spurs;22
Paul George;Nuggets;38
Elgin Baylor;Pelicans;24
Reggie Miller;Hawks;41
Reggie Miller;Thunder;31
James Harden;Warriors;27
Anthony Davis;Nuggets;40
George Mikan;Timberwolves;41
Devin Booker;Wizards;29
Patrick Ewing;Knicks;20
Blake Griffin;Warriors;41
Russell Westbrook;Celtics;23
Dwyane Wade;Hawks;38
Kawhi Leonard;Lakers;26
Paul George;Pacers;32
Kobe Bryant;Pistons;27
DeAron Fox;Rockets;18
George Mikan;Blazers;26
Joel Embiid;Thunder;36
Manute Bol;Raptors;29
Michael Jordan;Raptors;37
Ja Morant;Mavericks;37
Joel Embiid;Knicks;24
Vince carter;Grizzlies;29
Dennis Rodman;Rockets;22
Hakeem Olajuwon;Cavaliers;21
Luka Doncic;Knicks;36
Kevin Garnett;Jazz;33
Ja Morant;Magic;25
Patrick Ewing;Bucks;30
Wilt Chamberlain;Kings;22
Kawhi Leonard;Nuggets;26
Shaquille Oneal;76ers;34
Bill Russell;Raptors;19
Dennis Rodman;Pacers;30
James Harden;76ers;31
Tracy McGrady;Pelicans;24
Julius Erwing;Mavericks;38
Karl Malone;Hornets;21
Shaquille Oneal;Jazz;41
Yao Ming;Wizards;21
Reggie Miller;Cavaliers;38
Kemba Walker;Spurs;29
Tim Duncan;Pistons;19
Paul George;Timberwolves;39
Kevin Durant;Blazers;35
Scottie Pippen;Wizards;37
Scottie Pippen;Celtics;18
Blake Griffin;Magic;21
Dominique Wilkins;Pelicans;22
Yao Ming;Rockets;40
Tim Duncan;Grizzlies;40
Anthony Davis;Blazers;30
Allen Iverson;Lakers;23
Giannis Antetokounmpo;Heat;36
Kevin Garnett;Pacers;40
Jerry West;Knicks;18
Jerry West;Nuggets;37
Kemba Walker;Cavaliers;24
Wilt Chamberlain;Lakers;33
CJ McCollum;Pistons;32
Tracy McGrady;Magic;41
Damian Lillard;Mavericks;28
Karl Anthony-Towns;Celtics;22
David Robinson;Thunder;18
George Mikan;Hornets;18
Reggie Miller;Jazz;20
Luka Doncic;Clippers;26
Nikola Jokic;Mavericks;30
Kevin Durant;Pelicans;25
Jerry West;Nuggets;23
James Harden;Hornets;39
John Wall;Pelicans;23
Karl Anthony-Towns;Timberwolves;25
Devin Booker;76ers;38
James Worthy;Mavericks;40
Bradley Beal;Suns;20
John Wall;Knicks;23
Karl Anthony-Towns;Spurs;30
Wilt Chamberlain;Lakers;29
Tim Duncan;Timberwolves;32
Scottie Pippen;Magic;33
Blake Griffin;Rockets;27
Giannis Antetokounmpo;Timberwolves;27
Kevin Durant;Rockets;25
DeMar DeRozan;Nuggets;24
Anthony Davis;Grizzlies;39
Kemba Walker;Knicks;32
John Stockton;Pacers;32
Kawhi Leonard;Raptors;18
John Stockton;Spurs;40
CJ McCollum;Pelicans;34
Kawhi Leonard;76ers;25
DeMar DeRozan;Warriors;34
Penny Hardaway;Pelicans;30
James Worthy;Mavericks;18
Reggie Miller;Timberwolves;38
Damian Lillard;Warriors;25
George Mikan;76ers;24
Donovan Mitchell;Grizzlies;34
Karl Anthony-Towns;Pistons;38
Giannis Antetokounmpo;Spurs;40
Kevin Garnett;Lakers;20
Giannis Antetokounmpo;Rockets;18
Kawhi Leonard;Bulls;22
Dwight Howard;Pacers;24
Russell Westbrook;Magic;27
David Robinson;Nuggets;24
Chris Paul;Grizzlies;33
CJ McCollum;Raptors;26
Reggie Miller;76ers;40
Blake Griffin;Bulls;18
Kyrie irving;Grizzlies;32
Elgin Baylor;Thunder;25
Karl Malone;Mavericks;33
Julius Erwing;Knicks;28
Donovan Mitchell;Nuggets;33
Kyrie irving;Magic;31
Dwight Howard;Heat;30
George Mikan;Blazers;35
Damian Lillard;Grizzlies;39
George Gervin;Grizzlies;34
Dennis Rodman;Spurs;33
Paul George;Pelicans;30
Kareem Abdul-Jabbar;Rockets;36
Donovan Mitchell;76ers;39
Patrick Ewing;Nets;25
Damian Lillard;Blazers;21
Kawhi Leonard;Pelicans;40
Bill Russell;Nets;18
Kyrie irving;Rockets;34
Nikola Jokic;Kings;39
Michael Jordan;76ers;40
Kevin McHale;Nets;26
Allen Iverson;Nets;35
Steve Nash;Hornets;22
Manute Bol;Hornets;23
Dwight Howard;Bulls;40
Scottie Pippen;Celtics;18
Isiah Thomas;Pistons;23
DeMar DeRozan;Timberwolves;40
Chris Bosh;Blazers;31
George Mikan;Raptors;27
Vince carter;Bulls;38
Wilt Chamberlain;Mavericks;28
Donovan Mitchell;Kings;30
Bill Russell;Suns;22
DeMar DeRozan;Wizards;30
Jason Kidd;Nets;18
Ja Morant;Warriors;28
Steve Nash;Warriors;24
Giannis Antetokounmpo;Rockets;30
CJ McCollum;Mavericks;22
Joel Embiid;Nuggets;33
Rudy Gobert;Kings;40
CJ McCollum;Mavericks;29
Carmelo Anthony;Heat;18
Nikola Jokic;Bulls;25
George Mikan;Wizards;30
Julius Erwing;Hornets;40
Shaquille Oneal;Warriors;29
Paul Pierce;Raptors;38
Jason Kidd;Mavericks;23
Dirk Nowitzki;Cavaliers;38
Carmelo Anthony;Bucks;35
Kevin Durant;Pacers;39
Karl Anthony-Towns;Grizzlies;24
Scottie Pippen;Spurs;25
Kyrie irving;Bulls;18
George Gervin;Pacers;26
Ja Morant;Kings;31
Nikola Jokic;Grizzlies;20
Karl Anthony-Towns;Hawks;24
Donovan Mitchell;Hornets;19
Paul Pierce;Spurs;23
Russell Westbrook;Pistons;21
Russell Westbrook;Jazz;38
Dwight Howard;Timberwolves;19
CJ McCollum;Hawks;20
James Harden;Mavericks;19
Penny Hardaway;Suns;20
Kareem Abdul-Jabbar;Cavaliers;37
Scottie Pippen;Raptors;41
Nikola Jokic;Thunder;34
David Robinson;Bucks;20
Dwight Howard;Pelicans;25
Hakeem Olajuwon;Heat;19
Steph Curry;Pacers;21
Dennis Rodman;Blazers;32
George Mikan;Mavericks;32
Jamal Murray;Grizzlies;33
Chris Bosh;Raptors;24
Magic Johnson;Thunder;28
James Worthy;Pacers;35
Patrick Ewing;Spurs;18
LeBron James;Rockets;18
Chris Bosh;Pistons;37
Charles Barkley;Lakers;31
Kawhi Leonard;Bucks;23
Larry Bird;Warriors;28
DeAron Fox;Pacers;37
Jason Kidd;Cavaliers;41
Moses Malone;Celtics;25
Jason Kidd;Nuggets;18
Shaquille Oneal;Mavericks;27
David Robinson;Nuggets;19
Jerry West;Hornets;23
Russell Westbrook;Timberwolves;24
Giannis Antetokounmpo;Pistons;24
Isiah Thomas;Hawks;21
DeAron Fox;Pelicans;33
Paul Pierce;Wizards;29
Russell Westbrook;Cavaliers;20
Tim Duncan;Warriors;20
Donovan Mitchell;Raptors;32
Karl Malone;Grizzlies;40
Jamal Murray;Lakers;30
John Wall;Nuggets;27
Moses Malone;Celtics;35
Julius Erwing;Nuggets;28
John Wall;Grizzlies;21
Anthony Davis;Lakers;32
Patrick Ewing;Thunder;41
Karl Anthony-Towns;Rockets;26
Karl Malone;Pelicans;28
Dwyane Wade;76ers;32
John Wall;Spurs;28
Michael Jordan;Bucks;38
Yao Ming;Hawks;25
Giannis Antetokounmpo;Grizzlies;40
Kobe Bryant;Hawks;28
Ray Allen;Jazz;22
Damian Lillard;Hornets;38
Ja Morant;Spurs;38
Kevin Durant;Timberwolves;29
Penny Hardaway;Grizzlies;40
Paul Pierce;76ers;33
Reggie Miller;Kings;35
Paul George;Magic;33
Michael Jordan;Pelicans;18
Penny Hardaway;Spurs;30
George Mikan;Bulls;23
Hakeem Olajuwon;Warriors;29
James Harden;Pistons;18
Russell Westbrook;Nets;36
Carmelo Anthony;Celtics;37
Ja Morant;Grizzlies;21
Hakeem Olajuwon;Spurs;31
Anthony Davis;Mavericks;32
Dwyane Wade;Suns;19
Dwight Howard;Nuggets;40
Dwight Howard;Timberwolves;41
Tracy McGrady;Suns;28
James Harden;Cavaliers;34
Jerry West;Cavaliers;27
Klay Thompson;Kings;25
Ja Morant;Nets;23
Hakeem Olajuwon;Kings;20
Kawhi Leonard;Magic;18
Tracy McGrady;Spurs;25
Tracy McGrady;Kings;26
George Mikan;Thunder;34
Moses Malone;Hawks;26
Michael Jordan;Timberwolves;31
LeBron James;Warriors;25
Giannis Antetokounmpo;Mavericks;35
Dwyane Wade;76ers;26
Blake Griffin;76ers;38
Wilt Chamberlain;Mavericks;29
LeBron James;Grizzlies;33
Dirk Nowitzki;Cavaliers;31
James Worthy;Hawks;21
Isiah Thomas;Nets;28
Carmelo Anthony;Bulls;38
Bradley Beal;76ers;40
Nikola Jokic;Raptors;41
Dwyane Wade;Warriors;26
Devin Booker;Mavericks;20
Donovan Mitchell;Pistons;30
Kevin McHale;Thunder;39
Mugsy Bouges;Knicks;24
Julius Erwing;Warriors;19
Chris Bosh;Bulls;35
Penny Hardaway;Bulls;18
Kemba Walker;Bulls;29
Giannis Antetokounmpo;Blazers;38
Russell Westbrook;Pacers;22
Jason Kidd;76ers;30
Mugsy Bouges;Nets;18
Anthony Davis;Pacers;41
Larry Bird;Grizzlies;21
Larry Bird;Suns;18
Donovan Mitchell;Grizzlies;35
Bradley Beal;Knicks;22
Steph Curry;Bucks;39
Bradley Beal;Lakers;31
Yao Ming;Grizzlies;28
Julius Erwing;Wizards;41
Dennis Rodman;Thunder;29
Elgin Baylor;Pacers;22
Tracy McGrady;Jazz;21
Jason Kidd;Bucks;40
Karl Malone;Suns;30
David Robinson;Spurs;38
Chris Bosh;Bucks;22
John Stockton;Wizards;33
Luka Doncic;Cavaliers;36
Kevin Garnett;Kings;31
Scottie Pippen;Heat;31
Vince carter;Pacers;22
Tim Duncan;Spurs;20
Bradley Beal;Heat;38
James Worthy;Grizzlies;25
Kawhi Leonard;Grizzlies;23
James Harden;Pacers;41
Ja Morant;Warriors;40
DeAron Fox;Kings;25
George Gervin;Nets;38
James Harden;Spurs;22
Dwight Howard;Raptors;33
Manute Bol;Knicks;32
Tim Duncan;Mavericks;27
Jamal Murray;Clippers;37
Chris Paul;Celtics;26
Allen Iverson;Blazers;24
Tracy McGrady;Pacers;29
Jerry West;Pistons;36
Moses Malone;Thunder;20
Isiah Thomas;Raptors;31
Paul George;Bulls;30
Dwyane Wade;Rockets;36
Dirk Nowitzki;Cavaliers;27
Julius Erwing;Timberwolves;29
Reggie Miller;76ers;28
Patrick Ewing;Spurs;19
Kareem Abdul-Jabbar;Spurs;37
Kevin Durant;Pistons;28
Yao Ming;Jazz;41
Allen Iverson;Kings;29
Luka Doncic;Jazz;24
Karl Malone;Heat;35
Steve Nash;Hornets;18
Karl Malone;Magic;27
Ja Morant;Bulls;22
Kyrie irving;Bulls;39
Moses Malone;Heat;32
Magic Johnson;Nuggets;25
Paul Pierce;Magic;31
Paul George;Grizzlies;38
Bradley Beal;Warriors;24
Anthony Davis;76ers;40
Kawhi Leonard;Jazz;23
Kevin McHale;Timberwolves;19
Dwight Howard;76ers;32
Nikola Jokic;Jazz;32
Jamal Murray;Warriors;38
Chris Bosh;Nets;19
Kevin McHale;Hawks;34
CJ McCollum;Hawks;39
Steph Curry;Hawks;23
Larry Bird;Pelicans;41
Jason Kidd;76ers;37
James Worthy;Blazers;38
Charles Barkley;Nuggets;41
Charles Barkley;Cavaliers;19
Patrick Ewing;Celtics;27
Mugsy Bouges;Cavaliers;19
Rudy Gobert;Wizards;25
Penny Hardaway;Clippers;21
Giannis Antetokounmpo;Magic;32
Luka Doncic;Grizzlies;36
Rudy Gobert;Bulls;38
Shaquille Oneal;Thunder;38
Rudy Gobert;Spurs;23
Moses Malone;Nets;19
Kevin Durant;Hornets;34
Luka Doncic;Lakers;38
Anthony Davis;Cavaliers;38
Damian Lillard;Nuggets;23
Russell Westbrook;Lakers;23
Reggie Miller;Celtics;37
Karl Anthony-Towns;Thunder;38
Hakeem Olajuwon;Bucks;23
Kevin Garnett;Jazz;36
Kevin McHale;Blazers;35
Patrick Ewing;Grizzlies;27
DeMar DeRozan;Raptors;21
Jamal Murray;Grizzlies;33
Shaquille Oneal;Warriors;29
Damian Lillard;Magic;38
Manute Bol;Lakers;27
George Mikan;Heat;24
Julius Erwing;Clippers;41
Dennis Rodman;Clippers;41
Elgin Baylor;Grizzlies;21
Dennis Rodman;Bulls;26
Tracy McGrady;76ers;31
Kemba Walker;Hawks;40
Blake Griffin;Lakers;38
LeBron James;Nets;22
Steve Nash;Timberwolves;39
Karl Malone;Bucks;30
Russell Westbrook;Pistons;32
Larry Bird;Knicks;26
Karl Anthony-Towns;Nets;18
Kemba Walker;Timberwolves;24
Carmelo Anthony;Hornets;31
John Wall;Bucks;34
Patrick Ewing;Hornets;21
Paul George;Suns;23
Magic Johnson;Blazers;40
Paul George;Magic;22
Kyrie irving;Magic;33
George Gervin;Pacers;20
Damian Lillard;Magic;33
Jamal Murray;Cavaliers;33
Blake Griffin;Clippers;27
George Mikan;Knicks;32
James Worthy;Blazers;31
Manute Bol;Suns;38
Russell Westbrook;Wizards;41
Carmelo Anthony;76ers;35
Moses Malone;Bucks;21
Kevin Garnett;Blazers;38
Julius Erwing;Spurs;19
